id, dx, dy, yi, offset, str_length, mode, n_meas_step, nsim, narray, comments
1-5, 10, j, 10/2, 0, 10, 0, 2*10*j/100, 1000, 1, toric j=[20 40 60 80 100] all succeed
6-8, j, j, j/2, 0, j, 0, 2*j*j/100, 200, 5, toric j=[20 40 60 80 100] 6 7 8 succeed
9-10, j, j, j/2, 0, j, 0, 2*j*j/100, 20, 50, toric j=[80 100]
11-15, 10, j, j/2, 0, 5, 0, 2*j/100, 1000, 1, toric j=[20 40 60 80 100]
16-18, j, j, j/2, j/2, j, 1, 2*j*j/10, 200, 5, toric j=[20 40 60] 16 17 succeed
19-20, j, j, j/2, j/2, j, 1, 2*j*j/10, 20, 50, toric j=[80 100] 19 succeed

id, dx, dy, yi, offset, str_length, mode, n_meas_step, meas_basis, nsim, narray, comments
21-25, 10, j, 10/2, 0, 10, 0, 2, y, 1000, 1, cluster j=[20 40 60 80 100]
26-30, 10, j, 10/2, 0, 10, 0, 2, z, 1000, 5, cluster j=[20 40 60 80 100]

31-35, 10, j, j/2, j/2, 10, 0, 2*j/100, y, 1000, 1, xzzx j=[20 40 60 80 100]
36-40, 10, j, j/2, j/2, 10, 0, 2*j/100, z, 1000, 1, xzzx j=[20 40 60 80 100]
41-45, 10, j, j/2, j/2, 5, 0, 2*j/100, y, 1000, 1, xzzx j=[20 40 60 80 100]
46-50, 10, j, j/2, j/2, 5, 0, 2*j/100, z, 1000, 1, xzzx j=[20 40 60 80 100]
51-55, j, j, j/2, j/2, j, 0, 2*j*j/100, y, 100, 10, xzzx j=[20 40 60 80 100]
56-60, j, j, j/2, j/2, j, 0, 2*j*j/100, z, 100, 10, xzzx j=[20 40 60 80 100]
61-65, j, j, j/2, j/2, j/2, 1, 2*j*j/100, y, 100, 10, xzzx j=[20 40 60 80 100]
66-70, j, j, j/2, j/2, j/2, 1, 2*j*j/100, z, 100, 10, xzzx j=[20 40 60 80 100]
